file,column,ordinal,onset,offset,code01,studentpresentername,notesep,notesed,notesck,notesnm,notesap,notesaw,noteshh,notestm
T101 14-02-10 Content Log Merged,LogClass_AS_ActivityFormat,1,336570,360751,l,,,,,,,,,
T101 14-02-10 Content Log Merged,LogClass_AS_ActivityFormat,2,493540,1685582,a,,,,,,,,,
T101 14-02-10 Content Log Merged,LogClass_AS_ActivityFormat,3,1685582,1796690,o,,,,,,,,,
T101 14-02-10 Content Log Merged,LogClass_AS_ActivityFormat,4,1796690,1814292,l,,,,,,,,,
T101 14-02-10 Content Log Merged,LogClass_AS_ActivityFormat,5,1814292,1995691,o,,,,,,,,,
T101 14-02-10 Content Log Merged,LogClass_AS_ActivityFormat,6,1995691,2695418,g,,,,,,,,,
T101 14-02-10 Content Log Merged,LogClass_AS_ActivityFormat,7,2695418,2717933,l,,,,,,,,,
T101 14-02-10 Content Log Merged,LogClass_AS_ActivityFormat,8,2717933,3056882,sp,Jacqueline,,,,,,,,
T101 14-02-10 Content Log Merged,LogClass_AS_ActivityFormat,9,3056882,3089473,cd,,,,,,,,,
T101 14-02-10 Content Log Merged,LogClass_AS_ActivityFormat,10,3089473,3449735,sp,Sam Swi.,,,,,,,,
T101 14-02-10 Content Log Merged,LogClass_AS_ActivityFormat,11,3450930,3851997,g,,,,,,,,,
T101 14-02-10 Content Log Merged,LogClass_AS_ActivityFormat,12,3851997,4500922,cd,,,,,,,,,
T101 14-02-10 Content Log Merged,LogClass_AS_ActivityFormat,13,4500922,4875150,sp,Emmet, Milos, Gina, Amber,  William, Mike,,,,,,,,
T101 14-02-10 Content Log Merged,LogClass_AS_ActivityFormat,14,4875150,6295364,g,,,,,,,,,
