file,column,ordinal,onset,offset,code01,notesep,notesed,notesck,notesnm,notesap,notesaw,noteshh,notestm
AW T102 14-03-17 Conten Log,LogClass_AS_ParticipationFormat,1,0,254196,u,,,,,,,,
AW T102 14-03-17 Conten Log,LogClass_AS_ParticipationFormat,2,254196,281865,w,,,,,,,,
AW T102 14-03-17 Conten Log,LogClass_AS_ParticipationFormat,3,281865,572929,s,,,,,,,,
AW T102 14-03-17 Conten Log,LogClass_AS_ParticipationFormat,4,572929,601445,w,,,,,,,,
AW T102 14-03-17 Conten Log,LogClass_AS_ParticipationFormat,5,601445,710888,s,,,,,,,,
AW T102 14-03-17 Conten Log,LogClass_AS_ParticipationFormat,6,710888,1093352,w,,,,,,,,
AW T102 14-03-17 Conten Log,LogClass_AS_ParticipationFormat,7,1093352,1161930,s,,,,,,,,
AW T102 14-03-17 Conten Log,LogClass_AS_ParticipationFormat,8,1161930,3730129,w,,,,,,,,
AW T102 14-03-17 Conten Log,LogClass_AS_ParticipationFormat,9,3730129,5289725,i,,,,,,,,
AW T102 14-03-17 Conten Log,LogClass_AS_ParticipationFormat,10,5289725,5324462,w,,,,,,,,
AW T102 14-03-17 Conten Log,LogClass_AS_ParticipationFormat,11,5324462,5722352,s,,,,,,,,
AW T102 14-03-17 Conten Log,LogClass_AS_ParticipationFormat,12,5722352,6388053,w,,,,,,,,
AW T102 14-03-17 Conten Log,LogClass_AS_ParticipationFormat,13,6388053,6657350,u,,,,,,,,
