file,column,ordinal,onset,offset,code01,studentpresentername,notesep,notesed,notesck,notesnm,notesap,notesaw,noteshh,notestm
AW T102 14-03-17 Conten Log,LogClass_AS_ActivityFormat,1,254196,281865,l,,,,,,,,,
AW T102 14-03-17 Conten Log,LogClass_AS_ActivityFormat,2,281865,572929,g,,,,,,,,,
AW T102 14-03-17 Conten Log,LogClass_AS_ActivityFormat,3,572929,601445,cd,,,,,,,,,
AW T102 14-03-17 Conten Log,LogClass_AS_ActivityFormat,4,601445,710888,g,,,,,,,,,
AW T102 14-03-17 Conten Log,LogClass_AS_ActivityFormat,5,710888,1043626,sp,Marnica,,,,,,,,
AW T102 14-03-17 Conten Log,LogClass_AS_ActivityFormat,6,1043626,1093352,tp,,,,,,,,,
AW T102 14-03-17 Conten Log,LogClass_AS_ActivityFormat,7,1093352,1161930,g,,,,,,,,,
AW T102 14-03-17 Conten Log,LogClass_AS_ActivityFormat,8,1161930,1459061,sp,Carol,,,,,,,,
AW T102 14-03-17 Conten Log,LogClass_AS_ActivityFormat,9,1459061,1998105,sp,Tom,,,,,,,,
AW T102 14-03-17 Conten Log,LogClass_AS_ActivityFormat,10,1998105,2300360,tp,,,,,,,,,
AW T102 14-03-17 Conten Log,LogClass_AS_ActivityFormat,11,2300360,2480757,sp,Devyn,,,,,,,,
AW T102 14-03-17 Conten Log,LogClass_AS_ActivityFormat,12,2480757,2897178,sp,Emilio,,,,,,,,
AW T102 14-03-17 Conten Log,LogClass_AS_ActivityFormat,13,2897178,3069536,sp,Zinat,,,,,,,,
AW T102 14-03-17 Conten Log,LogClass_AS_ActivityFormat,14,3069536,3667323,tp,,,,,,,,,
AW T102 14-03-17 Conten Log,LogClass_AS_ActivityFormat,15,3667323,3730129,l,,,,,,,,,
AW T102 14-03-17 Conten Log,LogClass_AS_ActivityFormat,16,3730129,5289725,a,,,,,,,open note quiz,,
AW T102 14-03-17 Conten Log,LogClass_AS_ActivityFormat,17,5289725,5324462,l,,,,,,,,,
AW T102 14-03-17 Conten Log,LogClass_AS_ActivityFormat,18,5324462,5722352,g,,,,,,,,,
AW T102 14-03-17 Conten Log,LogClass_AS_ActivityFormat,19,5722352,6388053,tp,,,,,,,,,
