file,column,ordinal,onset,offset,code01,notesep,notesed,notesck,notesnm,notesap,notesaw,noteshh,notestm
T101 14-02-10 Content Log Merged,LogClass_AS_ParticipationFormat,1,0,336570,u,,,,,,,,
T101 14-02-10 Content Log Merged,LogClass_AS_ParticipationFormat,2,336570,360751,w,,,,,,,,
T101 14-02-10 Content Log Merged,LogClass_AS_ParticipationFormat,3,360751,493540,u,,,,,,,,
T101 14-02-10 Content Log Merged,LogClass_AS_ParticipationFormat,4,493540,1685582,i,,,,,,,,
T101 14-02-10 Content Log Merged,LogClass_AS_ParticipationFormat,5,1685582,1784637,u,,,,,,,,
T101 14-02-10 Content Log Merged,LogClass_AS_ParticipationFormat,6,1784637,1996527,w,,,,,,,,
T101 14-02-10 Content Log Merged,LogClass_AS_ParticipationFormat,7,1996527,2695418,s,,,,,,,,
T101 14-02-10 Content Log Merged,LogClass_AS_ParticipationFormat,8,2695418,3479138,w,,,,,,,,
T101 14-02-10 Content Log Merged,LogClass_AS_ParticipationFormat,9,3479138,3850626,s,,,,,,,,
T101 14-02-10 Content Log Merged,LogClass_AS_ParticipationFormat,10,3850626,4875150,w,,,,,,,,
T101 14-02-10 Content Log Merged,LogClass_AS_ParticipationFormat,11,4875150,6295395,s,,,,,,,,
T101 14-02-10 Content Log Merged,LogClass_AS_ParticipationFormat,12,6295395,6482776,u,,,,,,,,
