file,column,ordinal,onset,offset,code01,notesep,notesed,notesck,notesnm,notesap,notesaw,noteshh,notestm
T101 14-02-10 Content Log Merged,LogClass_IG,1,0,2486290,n,,,,,,,,
T101 14-02-10 Content Log Merged,LogClass_IG,2,2486291,2498752,o,,,,,,,,
T101 14-02-10 Content Log Merged,LogClass_IG,3,2498753,3489242,n,,,,,,,,
T101 14-02-10 Content Log Merged,LogClass_IG,4,3489242,3530111,g,,,,,,,,
T101 14-02-10 Content Log Merged,LogClass_IG,5,3530112,3568400,r,,,,,,,,
T101 14-02-10 Content Log Merged,LogClass_IG,6,3568401,3621676,p,,,,,,,,
T101 14-02-10 Content Log Merged,LogClass_IG,7,3621677,3657065,f,,,,,,,,
T101 14-02-10 Content Log Merged,LogClass_IG,8,3657066,3735364,y,,,,,,,,
T101 14-02-10 Content Log Merged,LogClass_IG,9,3735365,3782564,b,,,,,,,,
T101 14-02-10 Content Log Merged,LogClass_IG,10,3782565,3835564,o,,,,,,,,
T101 14-02-10 Content Log Merged,LogClass_IG,11,3835565,3849428,p,,,,,,,,
T101 14-02-10 Content Log Merged,LogClass_IG,12,3849428,4930878,n,,,,,,,,
T101 14-02-10 Content Log Merged,LogClass_IG,13,4930878,4938146,g,,,,,,,,
T101 14-02-10 Content Log Merged,LogClass_IG,14,4938147,4949846,f,,,,,,,,
T101 14-02-10 Content Log Merged,LogClass_IG,15,4949847,4954346,g,,,,,,,,
T101 14-02-10 Content Log Merged,LogClass_IG,16,4954347,6191435,n,,,,,,,,
T101 14-02-10 Content Log Merged,LogClass_IG,17,6191435,6197778,r,,,,,,,,
T101 14-02-10 Content Log Merged,LogClass_IG,18,6275844,6276425,g,,,,,,,,
T101 14-02-10 Content Log Merged,LogClass_IG,19,6276426,6287483,o,,,,,,,,
T101 14-02-10 Content Log Merged,LogClass_IG,20,6287484,6295958,f,,,,,,,,
T101 14-02-10 Content Log Merged,LogClass_IG,21,6295959,6482776,n,,,,,,,,
