file,column,ordinal,onset,offset,code01,studentpresentername,notesep,notesed,notesck,notesnm,notesap,notesaw,noteshh,notestm
EP 15-02-26 T602 Content Log Spinup Updated,LogClass_AS_ActivityFormat,1,0,215774,o,,,,,,,,,
EP 15-02-26 T602 Content Log Spinup Updated,LogClass_AS_ActivityFormat,2,215774,252995,l,,,,,,,,,
EP 15-02-26 T602 Content Log Spinup Updated,LogClass_AS_ActivityFormat,3,252996,459508,g,,,,,,,,,
EP 15-02-26 T602 Content Log Spinup Updated,LogClass_AS_ActivityFormat,4,459508,483657,cd,,,,,,,,,
EP 15-02-26 T602 Content Log Spinup Updated,LogClass_AS_ActivityFormat,5,483658,518176,g,,,,,,,,,
EP 15-02-26 T602 Content Log Spinup Updated,LogClass_AS_ActivityFormat,6,518177,538956,cd,,,,,,,,,
EP 15-02-26 T602 Content Log Spinup Updated,LogClass_AS_ActivityFormat,7,538957,1119977,g,,,,,,,,,
EP 15-02-26 T602 Content Log Spinup Updated,LogClass_AS_ActivityFormat,8,1119978,1176247,cd,,,,,,,,,
EP 15-02-26 T602 Content Log Spinup Updated,LogClass_AS_ActivityFormat,9,1176248,1246495,l,,,,,,,,,
EP 15-02-26 T602 Content Log Spinup Updated,LogClass_AS_ActivityFormat,10,1246495,2177843,g,,,,,,,,,
EP 15-02-26 T602 Content Log Spinup Updated,LogClass_AS_ActivityFormat,11,2177843,2258220,cd,,,,,,,,,
EP 15-02-26 T602 Content Log Spinup Updated,LogClass_AS_ActivityFormat,12,2258220,2708501,g,,,,,,,,,
EP 15-02-26 T602 Content Log Spinup Updated,LogClass_AS_ActivityFormat,13,2708501,3058717,o,,,,,,,,,
