file,column,ordinal,onset,offset,code01,notesep,notesed,notesck,notesnm,notesap,notesaw,noteshh,notestm
EP 15-02-26 T602 Content Log Spinup Updated,LogClass_IT,1,400742,400742,s,in response to alex's question,,,,,,,
EP 15-02-26 T602 Content Log Spinup Updated,LogClass_IT,2,447694,447694,s,What about Alex's question,,,,,,,
EP 15-02-26 T602 Content Log Spinup Updated,LogClass_IT,3,463273,463273,s,references previous work on board,,,,,,,
EP 15-02-26 T602 Content Log Spinup Updated,LogClass_IT,4,497746,497746,s,do me a favor make a 10-second sketch of the revolution,,,,,,,
EP 15-02-26 T602 Content Log Spinup Updated,LogClass_IT,5,519951,519951,s,is 2x+4 the radius? the height to the axis?,,,,,,,
EP 15-02-26 T602 Content Log Spinup Updated,LogClass_IT,6,600949,600949,s,did we get a consensus on the radius?,,,,,,,
EP 15-02-26 T602 Content Log Spinup Updated,LogClass_IT,7,748134,748134,s,gives more directions and way to check answer-with geometric formula,,,,,,,
EP 15-02-26 T602 Content Log Spinup Updated,LogClass_IT,8,1001852,1001852,s,gives way to check with calculator and directs students to do by hand,,,,,,,
EP 15-02-26 T602 Content Log Spinup Updated,LogClass_IT,9,1120272,1120272,s,check-in with what everyone did to compare answer with cone formula,,,,,,,
EP 15-02-26 T602 Content Log Spinup Updated,LogClass_IT,10,1975223,1975223,s,checking in where people are,,,,,,,
EP 15-02-26 T602 Content Log Spinup Updated,LogClass_IT,11,2178445,2178445,s,giving some content info and asking questions,,,,,,,
EP 15-02-26 T602 Content Log Spinup Updated,LogClass_IT,12,2575818,2575818,s,directive-evaluate on your calculators,,,,,,,
