file,column,ordinal,onset,offset,code01,notesep,notesed,notesck,notesnm,notesap,notesaw,noteshh,notestm
EP 15-02-26 T602 Content Log Spinup Updated,LogClass_IG,1,0,426174,n,,,,,,,,
EP 15-02-26 T602 Content Log Spinup Updated,LogClass_IG,2,433353,443217,b,,,,,,,,
EP 15-02-26 T602 Content Log Spinup Updated,LogClass_IG,3,443217,446818,o,,,,,,,,
EP 15-02-26 T602 Content Log Spinup Updated,LogClass_IG,4,446818,502909,n,,,,,,,,
EP 15-02-26 T602 Content Log Spinup Updated,LogClass_IG,5,502909,512019,y,,,,,,,,
EP 15-02-26 T602 Content Log Spinup Updated,LogClass_IG,6,512019,516132,b,,,,,,,,
EP 15-02-26 T602 Content Log Spinup Updated,LogClass_IG,7,516132,518776,o,,,,,,,,
EP 15-02-26 T602 Content Log Spinup Updated,LogClass_IG,8,518776,539369,n,,,,,,,,
EP 15-02-26 T602 Content Log Spinup Updated,LogClass_IG,9,539369,563480,o,,,,,,,,
EP 15-02-26 T602 Content Log Spinup Updated,LogClass_IG,10,563480,632209,n,,,,,,,,
EP 15-02-26 T602 Content Log Spinup Updated,LogClass_IG,11,632209,651304,g,,,,,,,,
EP 15-02-26 T602 Content Log Spinup Updated,LogClass_IG,12,651304,654209,g,,,,,,,,
EP 15-02-26 T602 Content Log Spinup Updated,LogClass_IG,13,654209,760735,r,,,,,,,,
EP 15-02-26 T602 Content Log Spinup Updated,LogClass_IG,14,760735,816682,y,,,,,,,,
EP 15-02-26 T602 Content Log Spinup Updated,LogClass_IG,15,816683,844844,b,,,,,,,,
EP 15-02-26 T602 Content Log Spinup Updated,LogClass_IG,16,844845,898064,o,,,,,,,,
EP 15-02-26 T602 Content Log Spinup Updated,LogClass_IG,17,898065,984501,g,,,,,,,,
EP 15-02-26 T602 Content Log Spinup Updated,LogClass_IG,18,984501,1021858,n,,,,,,,,
EP 15-02-26 T602 Content Log Spinup Updated,LogClass_IG,19,1021859,1064092,y,,,,,,,,
EP 15-02-26 T602 Content Log Spinup Updated,LogClass_IG,20,1064093,1106605,n,,,,,,,,
EP 15-02-26 T602 Content Log Spinup Updated,LogClass_IG,21,1106606,1135825,b,,,,,,,,
EP 15-02-26 T602 Content Log Spinup Updated,LogClass_IG,22,1135826,1142148,r,,,,,,,,
EP 15-02-26 T602 Content Log Spinup Updated,LogClass_IG,23,1142149,1144369,o,,,,,,,,
EP 15-02-26 T602 Content Log Spinup Updated,LogClass_IG,24,1144370,1151851,g,,,,,,,,
EP 15-02-26 T602 Content Log Spinup Updated,LogClass_IG,25,1151852,1170763,y,,,,,,,,
EP 15-02-26 T602 Content Log Spinup Updated,LogClass_IG,26,1170764,1172666,r,,,,,,,,
EP 15-02-26 T602 Content Log Spinup Updated,LogClass_IG,27,1172667,1263661,n,,,,,,,,
EP 15-02-26 T602 Content Log Spinup Updated,LogClass_IG,28,1263661,1272100,g,,,,,,,,
EP 15-02-26 T602 Content Log Spinup Updated,LogClass_IG,29,1272101,1302879,y,,,,,,,,
EP 15-02-26 T602 Content Log Spinup Updated,LogClass_IG,30,1302880,1345393,g,,,,,,,,
EP 15-02-26 T602 Content Log Spinup Updated,LogClass_IG,31,1345394,1370876,o,,,,,,,,
EP 15-02-26 T602 Content Log Spinup Updated,LogClass_IG,32,1370877,1453805,b,,,,,,,,
EP 15-02-26 T602 Content Log Spinup Updated,LogClass_IG,33,1453806,1524597,y,,,,,,,,
EP 15-02-26 T602 Content Log Spinup Updated,LogClass_IG,34,1524597,1591606,r,,,,,,,,
EP 15-02-26 T602 Content Log Spinup Updated,LogClass_IG,35,1591606,1659501,g,,,,,,,,
EP 15-02-26 T602 Content Log Spinup Updated,LogClass_IG,36,1659501,1953257,o,,,,,,,,
EP 15-02-26 T602 Content Log Spinup Updated,LogClass_IG,37,1953258,1975755,n,,,,,,,,
EP 15-02-26 T602 Content Log Spinup Updated,LogClass_IG,38,1975756,1987530,y,,,,,,,,
EP 15-02-26 T602 Content Log Spinup Updated,LogClass_IG,39,1987531,2049828,o,,,,,,,,
EP 15-02-26 T602 Content Log Spinup Updated,LogClass_IG,40,2049829,2052271,b,,,,,,,,
EP 15-02-26 T602 Content Log Spinup Updated,LogClass_IG,41,2052272,2078764,y,,,,,,,,
EP 15-02-26 T602 Content Log Spinup Updated,LogClass_IG,42,2078765,2177842,r,,,,,,,,
EP 15-02-26 T602 Content Log Spinup Updated,LogClass_IG,43,2177843,2258220,n,,,,,,,,
EP 15-02-26 T602 Content Log Spinup Updated,LogClass_IG,44,2258221,2271861,r,,,,,,,,
EP 15-02-26 T602 Content Log Spinup Updated,LogClass_IG,45,2271862,2358425,g,,,,,,,,
EP 15-02-26 T602 Content Log Spinup Updated,LogClass_IG,46,2358425,2435194,o,,,,,,,,
